Taste or Addiction?: Using Play Logs to Infer Song Selection Motivation,Kosetsu Tsukuda (National Institute of Advanced Industrial Science and Technology);Masataka Goto (National Institute of Advanced Industrial Science and Technology);,"2515680162,2140422315",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
Collective Geographical Embedding for Geolocating Social Network Users.,Fengjiao Wang (University of Illinois at Urbana–Champaign);Chun-Ta Lu (University of Illinois at Urbana–Champaign);Yongzhi Qu (Wuhan University of Technology);Philip S. Yu (University of Illinois at Urbana–Champaign);,"2619712143,2621239629,2677950644,2125104194",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
Personalized Ranking Recommendation via Integrating Multiple Feedbacks.,Jian Liu (Beijing University of Posts and Telecommunications);Chuan Shi (Beijing University of Posts and Telecommunications);Binbin Hu (Beijing University of Posts and Telecommunications);Shenghua Liu;Philip S. Yu (University of Illinois at Chicago);,"2501726924,2252461150,2605932238,2606325009,2125104194",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
Beyond Assortativity: Proclivity Index for Attributed Networks (ProNe),Reihaneh Rabbany (Carnegie Mellon University);Dhivya Eswaran (Carnegie Mellon University);Artur W. Dubrawski (Carnegie Mellon University);Christos Faloutsos (Carnegie Mellon University);,"2618501044,2225306512,2039642811,2198983026",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
Query-oriented Graph Clustering,Li-Yen Kuo (National Taiwan University);Chung-Kuang Chou (National Taiwan University);Ming-Syan Chen (National Taiwan University);,"2224401364,2151728411,2122365371",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,factor critical graph;windmill graph;simplex graph;strength of a graph;voltage graph;graph power;butterfly graph;null graph;correlation clustering;clique width;line graph;clustering coefficient;graph;
A Deep Neural Network for Pairwise Classification: Enabling Feature Conjunctions and Ensuring Symmetry,Kyohei Atarashi (Hokkaido University);Satoshi Oyama (Hokkaido University);Masahito Kurihara (Hokkaido University);Kazune Furudo (NEC);,"2607279599,2126393252,2152456929,2606492035",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,data mining;pattern recognition;machine learning;computer science;
A Fast Fourier Transform-Coupled Machine Learning-Based Ensemble Model for Disease Risk Prediction Using a Real-Life Dataset,Raid Lafta (University of Southern Queensland);Ji Zhang (University of Southern Queensland);Xiaohui Tao (University of Southern Queensland);Yan Li (University of Southern Queensland);Wessam Abbas (University of Southern Queensland);Yonglong Luo (Anhui Normal University);Fulong Chen (Anhui Normal University);Vincent S. Tseng (National Chiao Tung University);,"2277508999,2109058337,2144301289,2563701911,2606360734,2652119031,2101358446,2662202843",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,ensemble learning;data mining;pattern recognition;machine learning;
Mining High-Utility Itemsets with Both Positive and Negative Unit Profits from Uncertain Databases,Wensheng Gan (Harbin Institute of Technology);Jerry Chun-Wei Lin (Harbin Institute of Technology);Philippe Fournier-Viger (Harbin Institute of Technology);Han-Chieh Chao (Harbin Institute of Technology);Vincent S. Tseng (National Chiao Tung University);,"2168090839,2187636103,165198604,2476492724,2662202843",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
Taste or Addiction?: Using Play Logs to Infer Song Selection Motivation,Kosetsu Tsukuda (National Institute of Advanced Industrial Science and Technology);Masataka Goto (National Institute of Advanced Industrial Science and Technology);,"2515680162,2140422315",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
Collective Geographical Embedding for Geolocating Social Network Users.,Fengjiao Wang (University of Illinois at Urbana–Champaign);Chun-Ta Lu (University of Illinois at Urbana–Champaign);Yongzhi Qu (Wuhan University of Technology);Philip S. Yu (University of Illinois at Urbana–Champaign);,"2619712143,2621239629,2677950644,2125104194",-,2017,Pacific-Asia Conference on Knowledge Discovery and Data Mining,-
