Measuring and moderating opinion polarization in social networks,Antonis Matakos (University of Ioannina);Evimaria Terzi (Boston University);Panayiotis Tsaparas (University of Ioannina);,"2567106504,2110675235,2234654910",-,2017,Data Mining and Knowledge Discovery pp 1-26,-
Selective harvesting over networks,Fabricio Murai (University of Massachusetts Amherst);Diogo Rennó (Universidade Federal de Minas Gerais);Bruno Ribeiro (Purdue University);Gisele L. Pappa (Universidade Federal de Minas Gerais);Don Towsley (University of Massachusetts Amherst);Krista Gile (University of Massachusetts Amherst);,"1987779243,2511537095,2249226172,2089254527,2177075905,342346400","Active search on graphs focuses on collecting certain labeled nodes (targets) given global knowledge of the network topology and its edge weights (encoding pairwise similarities) under a query budget constraint. However, in most current networks, nodes, network topology, network size, and edge weights are all initially unknown. In this work we introduce selective harvesting, a variant of active search where the next node to be queried must be chosen among the neighbors of the current queried node set; the available training data for deciding which node to query is restricted to the subgraph induced by the queried set (and their node attributes) and their neighbors (without any node or edge attributes). Therefore, selective harvesting is a sequential decision problem, where we must decide which node to query at each step. A classifier trained in this scenario can suffer from what we call a tunnel vision effect: without any recourse to independent sampling, the urge to only query promising nodes forces classifiers to gather increasingly biased training data, which we show significantly hurts the performance of active search methods and standard classifiers. We demonstrate that it is possible to collect a much larger set of targets by using multiple classifiers, not by combining their predictions as a weighted ensemble, but switching between classifiers used at each step, as a way to ease the tunnel vision effect. We discover that switching classifiers collects more targets by (a) diversifying the training data and (b) broadening the choices of nodes that can be queried in the future. This highlights an exploration, exploitation, and diversification trade-off in our problem that goes beyond the exploration and exploitation duality found in classic sequential decision problems. Based on these observations we propose D\(^3\)TS, a method based on multi-armed bandits for non-stationary stochastic processes that enforces classifier diversity, which outperforms all competing methods on five real network datasets in our evaluation and exhibits comparable performance on the other two.",2017,Data Mining and Knowledge Discovery pp 1-31,model selection;data mining;artificial intelligence;machine learning;statistics;computer science;
MixedTrails: Bayesian hypothesis comparison on heterogeneous sequential data,Martin Becker (University of Würzburg);Florian Lemmerich (Leibniz Association);Philipp Singer (Leibniz Association);Markus Strohmaier (Leibniz Association);Andreas Hotho (University of Würzburg);,"2343475332,156522191,2167599249,142799918,20543882","Sequential traces of user data are frequently observed online and offline, e.g., as sequences of visited websites or as sequences of locations captured by GPS. However, understanding factors explaining the production of sequence data is a challenging task, especially since the data generation is often not homogeneous. For example, navigation behavior might change in different phases of browsing a website or movement behavior may vary between groups of users. In this work, we tackle this task and propose MixedTrails , a Bayesian approach for comparing the plausibility of hypotheses regarding the generative processes of heterogeneous sequence data. Each hypothesis is derived from existing literature, theory, or intuition and represents a belief about transition probabilities between a set of states that can vary between groups of observed transitions. For example, when trying to understand human movement in a city and given some data, a hypothesis assuming tourists to be more likely to move towards points of interests than locals can be shown to be more plausible than a hypothesis assuming the opposite. Our approach incorporates such hypotheses as Bayesian priors in a generative mixed transition Markov chain model, and compares their plausibility utilizing Bayes factors. We discuss analytical and approximate inference methods for calculating the marginal likelihoods for Bayes factors, give guidance on interpreting the results, and illustrate our approach with several experiments on synthetic and empirical data from Wikipedia and Flickr. Thus, this work enables a novel kind of analysis for studying sequential data in many application areas.",2017,Data Mining and Knowledge Discovery pp 1-32,bayes factor;markov chain;econometrics;data mining;machine learning;statistics;computer science;
Local community detection in multilayer networks,"Roberto Interdonato (University of Calabria);Andrea Tagarelli (University of Calabria);Dino Ienco (University of Turin);Arnaud Sallaberry (Paul Valéry University, Montpellier III);Pascal Poncelet (University of Montpellier);","1753498136,273425128,2288551980,198127655,733374064",-,2017,Data Mining and Knowledge Discovery pp 1-36,-
Fast and Accurate Mining of Correlated Heavy Hitters,Italo Epicoco (University of Salento);Massimo Cafaro (University of Salento);Marco Pulimeno (University of Salento);,"831550692,2122525326,1894818775","The problem of mining Correlated Heavy Hitters (CHH) from a bi-dimensional data stream has been introduced recently, and a deterministic algorithm based on the use of the Misra--Gries algorithm has been proposed to solve it. In this paper we present a new counter-based algorithm for tracking CHHs, formally prove its error bounds and correctness and show, through extensive experimental results, that our algorithm outperforms the Misra--Gries based algorithm with regard to accuracy and speed whilst requiring asymptotically much less space.",2017,Data Mining and Knowledge Discovery,fsa red algorithm;theoretical computer science;data mining;algorithm;mathematics;
Scalable density-based clustering with quality guarantees using random projections,Johannes Schneider (University of Liechtenstein);Michail Vlachos (IBM);,"2736000493,2146138755","Clustering offers significant insights in data analysis. Density-based algorithms have emerged as flexible and efficient techniques, able to discover high-quality and potentially irregularly shaped clusters. Here, we present scalable density-based clustering algorithms using random projections. Our clustering methodology achieves a speedup of two orders of magnitude compared with equivalent state-of-art density-based techniques, while offering analytical guarantees on the clustering quality in Euclidean space. Moreover, it does not introduce difficult to set parameters. We provide a comprehensive analysis of our algorithms and comparison with existing density-based algorithms.",2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 972-1005,k medians clustering;brown clustering;canopy clustering algorithm;dbscan;correlation clustering;constrained clustering;data stream clustering;cure data clustering algorithm;fuzzy clustering;clustering high dimensional data;cluster analysis;biclustering;theoretical computer science;data mining;machine learning;computer science;
Measuring discrimination in algorithmic decision making,Indrė Žliobaitė (University of Helsinki);,2132075515,"Society is increasingly relying on data-driven predictive models for automated decision making. This is not by design, but due to the nature and noisiness of observational data, such models may systematically disadvantage people belonging to certain categories or groups, instead of relying solely on individual merits. This may happen even if the computing process is fair and well-intentioned. Discrimination-aware data mining studies of how to make predictive models free from discrimination, when the historical data, on which they are built, may be biased, incomplete, or even contain past discriminatory decisions. Discrimination-aware data mining is an emerging research discipline, and there is no firm consensus yet of how to measure the performance of algorithms. The goal of this survey is to review various discrimination measures that have been used, analytically and computationally analyze their performance, and highlight implications of using one or another measure. We also describe measures from other disciplines, which have not been used for measuring discrimination, but potentially could be suitable for this purpose. This survey is primarily intended for researchers in data mining and machine learning as a step towards producing a unifying view of performance criteria when developing new algorithms for non-discriminatory predictive modeling. In addition, practitioners and policy makers could use this study when diagnosing potential discrimination by predictive models.",2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 1060-1089,predictive analytics;management science;data mining;machine learning;statistics;computer science;
FitMine: automatic mining for time-evolving signals of cardiotocography monitoring,Sun Hee Kim (Korea University);Hyung Jeong Yang (Chonnam National University);Seong Whan Lee (Korea University);,"2501061722,2180527834,2321956385","The monitoring and assessment of the fetus condition are considered to be among the most important obstetric issues to consider during pregnancy and the prenatal period. Monitoring the fetal condition is required to detect the presence of any abnormalities in the oxygen supply to the fetus early in the antenatal or labor period. Early detection can prevent permanent brain damage and death, both of which may arise from suffocation caused by fetal disease, hypoxic-ischemic injury in the neonatal brain, or chronic fetal asphyxia. In this paper, we propose a new signal-fitting method, FitMine, that identifies the fetal condition by analyzing fetal heart rate (FHR) and uterine contraction (UC) signals that are non-invasively measured by cardiotocography (CTG). FitMine is a novel nonlinear dynamic model that reflects the relation between the FHR and UC signals; it combines the chaotic population model and unscented Kalman filter algorithm. The proposed method has several benefits. These are: (a) change-point detection: the proposed method can detect significant pattern variations such as high or low peaks changing suddenly in the FHR and UC signals; (b) parameter-free: it is performed automatically without the requirement for the user to enter input parameters; (c) scalability: FitMine is linearly scalable according to the size of the input data; and (d) applicability: the proposed model can be applied to detect abnormal signs in various domains including electroencephalogram data, epidemic data, temperature data, in addition to CTG recordings.",2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 909-933,minimum description length;kalman filter;estimation theory;telecommunications;machine learning;statistics;computer science;
The PRIMPING routine—Tiling through proximal alternating linearized minimization,Sibylle Hess (Technical University of Dortmund);Katharina Morik (Technical University of Dortmund);Nico Piatkowski (Technical University of Dortmund);,"2521191643,2070565061,1739481293","Mining and exploring databases should provide users with knowledge and new insights. Tiles of data strive to unveil true underlying structure and distinguish valuable information from various kinds of noise. We propose a novel Boolean matrix factorization algorithm to solve the tiling problem, based on recent results from optimization theory. In contrast to existing work, the new algorithm minimizes the description length of the resulting factorization. This approach is well known for model selection and data compression, but not for finding suitable factorizations via numerical optimization. We demonstrate the superior robustness of the new approach in the presence of several kinds of noise and types of underlying structure. Moreover, our general framework can work with any cost measure having a suitable real-valued relaxation. Thereby, no convexity assumptions have to be met. The experimental results on synthetic data and image data show that the new method identifies interpretable patterns which explain the data almost always better than the competing algorithms.",2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 1090-1131,discrete mathematics;combinatorics;machine learning;mathematical optimization;statistics;mathematics;
Discrimination of Alzheimer’s Disease using longitudinal information,Helena Aidos (Instituto Superior Técnico);Ana L. N. Fred (Instituto Superior Técnico);,"2461135768,2297453548",-,2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 1006-1030,-
Robust unsupervised cluster matching for network data,Tomoharu Iwata (Nippon Telegraph and Telephone);Katsuhiko Ishiguro (Nippon Telegraph and Telephone);,"2108993706,2069134894","Unsupervised cluster matching is a task to find matching between clusters of objects in different domains. Examples include matching word clusters in different languages without dictionaries or parallel sentences and matching user communities across different friendship networks. Existing methods assume that every object is assigned into a cluster. However, in real-world applications, some objects would not form clusters. These irrelevant objects deteriorate the cluster matching performance since mistakenly estimated matching affect on estimation of matching of other objects. In this paper, we propose a probabilistic model for robust unsupervised cluster matching that discovers relevance of objects and matching of object clusters, simultaneously, given multiple networks. The proposed method finds correspondence only for relevant objects, and keeps irrelevant objects unmatched, which enables us to improve the matching performance since the adverse impact of irrelevant objects is eliminated. With the proposed method, relevant objects in different networks are clustered into a shared set of clusters by assuming that different networks are generated from a common network probabilistic model, which is an extension of stochastic block models. Objects assigned into the same clusters are considered as matched. Edges for irrelevant objects are assumed to be generated from a noise distribution irrespective of cluster assignments. We present an efficient Bayesian inference procedure of the proposed model based on collapsed Gibbs sampling. In our experiments, we demonstrate the effectiveness of the proposed method using synthetic and real-world data sets, including multilingual corpora and movie ratings.",2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 1132-1154,network model;unsupervised learning;data mining;pattern recognition;machine learning;computer science;
Enhancing social collaborative filtering through the application of non-negative matrix factorization and exponential random graph models,Georgios Alexandridis (National Technical University of Athens);Georgios Siolas (National Technical University of Athens);Andreas Stafylopatis (National Technical University of Athens);,"2426054988,2010588381,2336400308","Social collaborative filtering recommender systems extend the traditional user-to-item interaction with explicit user-to-user relationships, thereby allowing for a wider exploration of correlations among users and items, that potentially lead to better recommendations. A number of methods have been proposed in the direction of exploring the social network, either locally (i.e. the vicinity of each user) or globally. In this paper, we propose a novel methodology for collaborative filtering social recommendation that tries to combine the merits of both the aforementioned approaches, based on the soft-clustering of the Friend-of-a-Friend (FoaF) network of each user. This task is accomplished by the non-negative factorization of the adjacency matrix of the FoaF graph, while the edge-centric logic of the factorization algorithm is ameliorated by incorporating more general structural properties of the graph, such as the number of edges and stars, through the introduction of the exponential random graph models. The preliminary results obtained reveal the potential of this idea.",2017,Data Mining and Knowledge Discovery volume 31 issue 4 pp 1031-1059,exponential random graph models;non negative matrix factorization;collaborative filtering;recommender system;theoretical computer science;combinatorics;data mining;machine learning;computer science;mathematics;
