Assessing pattern recognition or labeling in streams of temporal data,Pierre-François Marteau (Sewanee: The University of the South);,2130425563,"In the data deluge context, pattern recognition or labeling in streams is becoming quite an essential and pressing task as data flows inside always bigger streams. The assessment of such tasks is not so easy when dealing with temporal data, namely patterns that have a duration (a beginning and an end time-stamp). This paper details an approach based on an editing distance to first align a sequence of labeled temporal segments with a ground truth sequence, and then, by back-tracing an optimal alignment path, to provide a confusion matrix at the label level. From this confusion matrix, standard evaluation measures can easily be derived as well as other measures such as the "" latency "" that can be quite important in (early) pattern detection applications.",2016,European Conference on Principles of Data Mining and Knowledge Discovery,temporal database;dynamic programming;data mining;database;pattern recognition;computer science;
Deep Metric Learning with Data Summarization,Wenlin Wang (Duke University);Changyou Chen (Duke University);Wenlin Chen (Washington University in St. Louis);Piyush Rai (Indian Institute of Technology Kanpur);Lawrence Carin (Duke University);,"2547034632,2156460610,2231133452,2136188764,657437189",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,automatic summarization;information retrieval;pattern recognition;machine learning;
Trust Hole Identification in Signed Networks,Jiawei Zhang (University of Illinois at Chicago);Qianyi Zhan (Nanjing University);Lifang He (Shenzhen University);Charu C. Aggarwal (IBM);Philip S. Yu (University of Illinois at Chicago);,"2305185572,2442559174,2555188826,2146335907,2125104194",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,theoretical computer science;internet privacy;computer security;data mining;computer science;
M-Zoom: Fast Dense-Block Detection in Tensors with Quality Guarantees,Kijung Shin (Carnegie Mellon University);Bryan Hooi (Carnegie Mellon University);Christos Faloutsos (Carnegie Mellon University);,"2226806500,1755863881,2198983026",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Enhancing Traffic Congestion Estimation with Social Media by Coupled Hidden Markov Model,Senzhang Wang (Nanjing University of Aeronautics and Astronautics);Fengxiang Li (Peking University);Leon Stenneth (Here);Philip S. Yu (University of Illinois at Chicago);,"2680103946,2579420199,2505588394,2125104194",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,social media;internet privacy;simulation;computer network;computer science;
Semi-supervised Tensor Factorization for Brain Network Analysis,Bokai Cao (University of Illinois at Chicago);Chun Ta Lu (University of Illinois at Chicago);Xiaokai Wei (University of Illinois at Chicago);Philip S. Yu (University of Illinois at Chicago);Alex D. Leow (University of Illinois at Chicago);,"2131202988,2224372854,2405326445,2125104194,2061530058",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,tensor product network;
Intelligent Urban Data Monitoring for Smart Cities,Nikolaos Panagiotou (National and Kapodistrian University of Athens);Nikolas Zygouras (National and Kapodistrian University of Athens);Ioannis Katakis (National and Kapodistrian University of Athens);Dimitrios Gunopulos (National and Kapodistrian University of Athens);Nikos Zacheilas (Athens University of Economics and Business);Ioannis Boutsis (Athens University of Economics and Business);Vana Kalogeraki (Athens University of Economics and Business);Stephen Lynch;Brendan O’Brien;,"2426281475,2231239752,1921192703,2712250546,2231694793,2071945290,2660388094,2507338237,2676789291",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,internet of things;
The SPMF Open-Source Data Mining Library Version 2,Philippe Fournier-Viger (Harbin Institute of Technology);Jerry Chun-Wei Lin (Harbin Institute of Technology);Antonio Gomariz (University of Murcia);Ted Gueniche (Université de Moncton);Azadeh Soltani (Ferdowsi University of Mashhad);Zhihong Deng (Peking University);Hoang Thanh Lam (IBM);,"165198604,2187636103,2097123842,112779420,2209416809,2700760000,2118785635",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
Engine Misfire Detection with Pervasive Mobile Audio,Joshua Siegel (Massachusetts Institute of Technology);Sumeet Kumar (Massachusetts Institute of Technology);Isaac Ehrenberg (Massachusetts Institute of Technology);Sanjay E. Sarma (Massachusetts Institute of Technology);,"2153170943,2250514681,2001165808,2170183435",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,embedded system;
Multi-Objective Group Discovery on the Social Web,Behrooz Omidvar-Tehrani (Ohio State University);Sihem Amer-Yahia (Centre national de la recherche scientifique);Pierre-Francois Dutot (Centre national de la recherche scientifique);Denis Trystram (Centre national de la recherche scientifique);,"2567131992,19633248,2558251311,1997557714",-,2016,European Conference on Principles of Data Mining and Knowledge Discovery,-
