Duplicate detection in adverse drug reaction surveillance,G. Niklas Norén (Uppsala Monitoring Centre);Roland Orre (Stockholm University);Andrew Bate (Pfizer);I. Ralph Edwards (Uppsala Monitoring Centre);,"2038259707,1510144811,1973485669,2155523821","The WHO Collaborating Centre for International Drug Monitoring in Uppsala, Sweden, maintains and analyses the world's largest database of reports on suspected adverse drug reaction (ADR) incidents that occur after drugs are on the market. The presence of duplicate case reports is an important data quality problem and their detection remains a formidable challenge, especially in the WHO drug safety database where reports are anonymised before submission. In this paper, we propose a duplicate detection method based on the hit-miss model for statistical record linkage described by Copas and Hilton, which handles the limited amount of training data well and is well suited for the available data (categorical and numerical rather than free text). We propose two extensions of the standard hit-miss model: a hit-miss mixture model for errors in numerical record fields and a new method to handle correlated record fields, and we demonstrate the effectiveness both at identifying the most likely duplicate for a given case report (94.7% accuracy) and at discriminating true duplicates from random matches (63% recall with 71% precision). The proposed method allows for more efficient data cleaning in post-marketing drug safety data sets, and perhaps other knowledge discovery applications as well.",2007,Data Mining and Knowledge Discovery volume 14 issue 3 pp 305-328,pharmacovigilance;record linkage;mixture model;data quality;knowledge extraction;computer security;data mining;database;statistics;computer science;
Using metarules to organize and group discovered association rules,Abdelaziz Berrado (Arizona State University);George C. Runger (Arizona State University);,"2309876116,2005957266","The high dimensionality of massive data results in the discovery of a large number of association rules. The huge number of rules makes it difficult to interpret and react to all of the rules, especially because many rules are redundant and contained in other rules. We discuss how the sparseness of the data affects the redundancy and containment between the rules and provide a new methodology for organizing and grouping the association rules with the same consequent. It consists of finding metarules, rules that express the associations between the discovered rules themselves. The information provided by the metarules is used to reorganize and group related rules. It is based only on data-determined relationships between the rules. We demonstrate the suggested approach on actual manufacturing data and show its effectiveness on several benchmark data sets.",2007,Data Mining and Knowledge Discovery volume 14 issue 3 pp 409-431,association rule learning;biological classification;data mining;pattern recognition;machine learning;computer science;mathematics;
A fast and effective method to find correlations among attributes in databases,Elaine P. M. de Sousa (University of São Paulo);Caetano Traina (University of São Paulo);Agma J. M. Traina (University of São Paulo);Leejay Wu (Carnegie Mellon University);Christos Faloutsos (Carnegie Mellon University);,"2150460988,2108706841,2017812127,2149376957,2198983026","The problem of identifying meaningful patterns in a database lies at the very heart of data mining. A core objective of data mining processes is the recognition of inter-attribute correlations. Not only are correlations necessary for predictions and classifications --- since rules would fail in the absence of pattern --- but also the identification of groups of mutually correlated attributes expedites the selection of a representative subset of attributes, from which existing mappings allow others to be derived. In this paper, we describe a scalable, effective algorithm to identify groups of correlated attributes. This algorithm can handle non-linear correlations between attributes, and is not restricted to a specific family of mapping functions, such as the set of polynomials. We show the results of our evaluation of the algorithm applied to synthetic and real world datasets, and demonstrate that it is able to spot the correlated attributes. Moreover, the execution time of the proposed technique is linear on the number of elements and of correlations in the dataset.",2007,Data Mining and Knowledge Discovery volume 14 issue 3 pp 367-407,intrinsic dimension;fractal;feature selection;data mining;pattern recognition;machine learning;statistics;computer science;mathematics;
Differential prioritization in feature selection and classifier aggregation for multiclass microarray datasets,Chia Huey Ooi (Monash University);Madhu Chetty (Monash University);Shyh Wei Teng (Monash University);,"2719646837,2119754102,2007383746","The high dimensionality of microarray datasets endows the task of multiclass tissue classification with various difficulties--the main challenge being the selection of features deemed relevant and non-redundant to form the predictor set for classifier training. The necessity of varying the emphases on relevance and redundancy, through the use of the degree of differential prioritization (DDP) during the search for the predictor set is also of no small importance. Furthermore, there are several types of decomposition technique for the feature selection (FS) problem--all-classes-at-once, one-vs.-all (OVA) or pairwise (PW). Also, in multiclass problems, there is the need to consider the type of classifier aggregation used--whether non-aggregated (a single machine), or aggregated (OVA or PW). From here, first we propose a systematic approach to combining the distinct problems of FS and classification. Then, using eight well-known multiclass microarray datasets, we empirically demonstrate the effectiveness of the DDP in various combinations of FS decomposition types and classifier aggregation methods. Aided by the variable DDP, feature selection leads to classification performance which is better than that of rank-based or equal-priorities scoring methods and accuracies higher than previously reported for benchmark datasets with large number of classes. Finally, based on several criteria, we make general recommendations on the optimal choice of the combination of FS decomposition type and classifier aggregation method for multiclass microarray datasets.",2007,Data Mining and Knowledge Discovery volume 14 issue 3 pp 329-366,microarray analysis techniques;multiclass classification;feature selection;data mining;pattern recognition;machine learning;computer science;
Genetic process mining: an experimental evaluation,Ana Karla A. de Medeiros (Eindhoven University of Technology);A. J. M. M. Weijters (Eindhoven University of Technology);Wil M. P. van der Aalst (Eindhoven University of Technology);,"2346083455,438057892,270949118","One of the aims of process mining is to retrieve a process model from an event log. The discovered models can be used as objective starting points during the deployment of process-aware information systems (Dumas et al., eds., Process-Aware Information Systems: Bridging People and Software Through Process Technology. Wiley, New York, 2005) and/or as a feedback mechanism to check prescribed models against enacted ones. However, current techniques have problems when mining processes that contain non-trivial constructs and/or when dealing with the presence of noise in the logs. Most of the problems happen because many current techniques are based on local information in the event log. To overcome these problems, we try to use genetic algorithms to mine process models. The main motivation is to benefit from the global search performed by this kind of algorithms. The non-trivial constructs are tackled by choosing an internal representation that supports them. The problem of noise is naturally tackled by the genetic algorithm because, per definition, these algorithms are robust to noise. The main challenge in a genetic approach is the definition of a good fitness measure because it guides the global search performed by the genetic algorithm. This paper explains how the genetic algorithm works. Experiments with synthetic and real-life logs show that the fitness measure indeed leads to the mining of process models that are complete (can reproduce all the behavior in the log) and precise (do not allow for extra behavior that cannot be derived from the event log). The genetic algorithm is implemented as a plug-in in the ProM framework.",2007,Data Mining and Knowledge Discovery volume 14 issue 2 pp 245-304,genetic representation;petri net;genetic algorithm;data mining;artificial intelligence;machine learning;statistics;computer science;mathematics;
Two topographic maps for data visualisation,Colin Fyfe (University of the West of Scotland);,669381866,"We review a new form of self-organizing map which is based on a nonlinear projection of latent points into data space, identical to that performed in the Generative Topographic Mapping (GTM) [Bishop et al. (1997) Neurl Comput 10(1): 215---234]. But whereas the GTM is an extension of a mixture of experts, our new model is an extension of a product of experts [Hinton (2000) Technical report GCNU TR 2000-004, Gatsby Computational Neuroscience Unit, University College, London]. We show visualisation results on some real data sets and compare with the GTM. We then introduce a second mapping based on harmonic averages and show that it too creates a topographic mapping of the data. We compare these mappings on real and artificial data sets.",2007,Data Mining and Knowledge Discovery volume 14 issue 2 pp 207-224,generative topographic map;topographic map;computational neuroscience;artificial intelligence;machine learning;computer science;
Evaluation of ordinal attributes at value level,Marko Robnik-Šikonja (University of Ljubljana);Koen Vanhoof (University of Hasselt);,"2034282898,2242613764","We propose a novel context sensitive algorithm for evaluation of ordinal attributes which exploits the information hidden in ordering of attributes' and class' values and provides a separate score for each value of the attribute. Similar to feature selection algorithm ReliefF, the proposed algorithm exploits the contextual information via selection of nearest instances. The ordEval algorithm outputs probabilistic factors corresponding to the effect an increase/decrease of attribute's value has on the class value. While the ordEval algorithm is general and can be used for analysis of any survey with graded answers, we show its utility on an important marketing problem of customer (dis)satisfaction. We develop a visualization technique and show how we can use it to detect and confirm several findings from marketing theory.",2007,Data Mining and Knowledge Discovery volume 14 issue 2 pp 225-243,variable and attribute;attribute domain;attribute value system;visualization;feature selection;data mining;pattern recognition;machine learning;computer science;
Locally adaptive metrics for clustering high dimensional data,"Carlotta Domeniconi (George Mason University);Dimitrios Gunopulos (University of California, Riverside);Sheng Ma (IBM);Bojun Yan (George Mason University);Muna Al-Razgan (George Mason University);Dimitris Papadopoulos (University of California, Riverside);","45678088,1656275121,2116699166,2103112977,2039497280,2167006157","Clustering suffers from the curse of dimensionality, and similarity functions that use all input features with equal relevance may not be effective. We introduce an algorithm that discovers clusters in subspaces spanned by different combinations of dimensions via local weightings of features. This approach avoids the risk of loss of information encountered in global dimensionality reduction techniques, and does not assume any data distribution model. Our method associates to each cluster a weight vector, whose values capture the relevance of features within the corresponding cluster. We experimentally demonstrate the gain in perfomance our method achieves with respect to competitive methods, using both synthetic and real datasets. In particular, our results show the feasibility of the proposed technique to perform simultaneous clustering of genes and conditions in gene expression data, and clustering of very high-dimensional data such as text data.",2007,Data Mining and Knowledge Discovery volume 14 issue 1 pp 63-97,k medians clustering;canopy clustering algorithm;correlation clustering;constrained clustering;data stream clustering;cure data clustering algorithm;fuzzy clustering;clustering high dimensional data;curse of dimensionality;dimensionality reduction;cluster analysis;data mining;pattern recognition;machine learning;computer science;mathematics;
Non-derivable itemset mining,Tgk Toon Calders (University of Antwerp);B Goethals (University of Antwerp);,"2677969167,1992071743","All frequent itemset mining algorithms rely heavily on the monotonicity principle for pruning. This principle allows for excluding candidate itemsets from the expensive counting phase. In this paper, we present sound and complete deduction rules to derive bounds on the support of an itemset. Based on these deduction rules, we construct a condensed representation of all frequent itemsets, by removing those itemsets for which the support can be derived, resulting in the so called Non-Derivable Itemsets (NDI) representation. We also present connections between our proposal and recent other proposals for condensed representations of frequent itemsets. Experiments on real-life datasets show the effectiveness of the NDI representation, making the search for frequent non-derivable itemsets a useful and tractable alternative to mining all frequent itemsets.",2007,Data Mining and Knowledge Discovery volume 14 issue 1 pp 171-206,data science;data mining;database;computer science;mathematics;
Compression-based data mining of sequential data,"Eamonn J. Keogh (University of California, Riverside);Stefano Lonardi (University of California, Riverside);Chotirat Ann Ratanamahatana (Chulalongkorn University);Li Wei (University of California, Riverside);Sang-Hee Lee (University of California, Riverside);John Handley (Xerox);","2170070822,301234865,2091934636,2325104268,2168330173,1938937296","The vast majority of data mining algorithms require the setting of many input parameters. The dangers of working with parameter-laden algorithms are twofold. First, incorrect settings may cause an algorithm to fail in finding the true patterns. Second, a perhaps more insidious problem is that the algorithm may report spurious patterns that do not really exist, or greatly overestimate the significance of the reported patterns. This is especially likely when the user fails to understand the role of parameters in the data mining process. Data mining algorithms should have as few parameters as possible. A parameter-light algorithm would limit our ability to impose our prejudices, expectations, and presumptions on the problem at hand, and would let the data itself speak to us. In this work, we show that recent results in bioinformatics, learning, and computational theory hold great promise for a parameter-light data-mining paradigm. The results are strongly connected to Kolmogorov complexity theory. However, as a practical matter, they can be implemented using any off-the-shelf compression algorithm with the addition of just a dozen lines of code. We will show that this approach is competitive or superior to many of the state-of-the-art approaches in anomaly/interestingness detection, classification, and clustering with empirical tests on time series/DNA/text/XML/video datasets. As a further evidence of the advantages of our method, we will demonstrate its effectiveness to solve a real world classification problem in recommending printing services and products.",2007,Data Mining and Knowledge Discovery volume 14 issue 1 pp 99-129,source lines of code;computability theory;cluster analysis;data compression;time series;data stream mining;anomaly detection;data mining;machine learning;statistics;algorithm;computer science;mathematics;
