The (black) art of runtime evaluation: Are we comparing algorithms or implementations?,Hans-Peter Kriegel (Ludwig Maximilian University of Munich);Erich Schubert (Ludwig Maximilian University of Munich);Arthur Zimek (University of Southern Denmark);,"1919135125,2011689237,242745652","Any paper proposing a new algorithm should come with an evaluation of efficiency and scalability (particularly when we are designing methods for “big data”). However, there are several (more or less serious) pitfalls in such evaluations. We would like to point the attention of the community to these pitfalls. We substantiate our points with extensive experiments, using clustering and outlier detection methods with and without index acceleration. We discuss what we can learn from evaluations, whether experiments are properly designed, and what kind of conclusions we should avoid. We close with some general recommendations but maintain that the design of fair and conclusive experiments will always remain a challenge for researchers and an integral part of the scientific endeavor.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-38,methodology;management science;data mining;simulation;computer science;
Learning extremely shared middle-level image representation for scene classification,Peng Tang (Huazhong University of Science and Technology);Jin Zhang (Huazhong University of Science and Technology);Xinggang Wang (Huazhong University of Science and Technology);Bin Feng (Huazhong University of Science and Technology);Fabio Roli (University of Cagliari);Wenyu Liu (Huazhong University of Science and Technology);,"2437702003,2635749973,2117300371,2242327880,2048719660,2143675271","Learning middle-level image representations is very important for the computer vision community, especially for scene classification tasks. Middle-level image representations currently available are not sparse enough to make training and testing times compatible with the increasing number of classes that users want to recognize. In this work, we propose a middle-level image representation based on the pattern that extremely shared among different classes to reduce both training and test time. The proposed learning algorithm first finds some class-specified patterns and then utilizes the lasso regularization to select the most discriminative patterns shared among different classes. The experimental results on some widely used scene classification benchmarks (15 Scenes, MIT-indoor 67, SUN 397) show that the fewest patterns are necessary to achieve very remarkable performance with reduced computation time.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-22,information system;theoretical computer science;computer vision;data mining;artificial intelligence;machine learning;computer science;
"FIU-Miner (a fast, integrated, and user-friendly system for data mining) and its applications",Tao Li (Florida International University);Chunqiu Zeng (Florida International University);Wubai Zhou (Florida International University);Wei Xue (Florida International University);Yue Huang (Nanjing University of Posts and Telecommunications);Zheng Liu (Nanjing University of Posts and Telecommunications);Qifeng Zhou (Xiamen University);Bin Xia (Florida International University);Qing Wang (Florida International University);Wentao Wang (Florida International University);Xiaolong Zhu (Florida International University);,"2472069284,2155150411,2227176090,2232451325,2508143780,2717712658,2680994159,2582681207,2564420227,2492850689,2513461430","The advent of Big Data era drives data analysts from different domains to use data mining techniques for data analysis. However, performing data analysis in a specific domain is not trivial; it often requires complex task configuration, onerous integration of algorithms, and efficient execution in distributed environments. Few efforts have been paid on developing effective tools to facilitate data analysts in conducting complex data analysis tasks. In this paper, we design and implement FIU-Miner, a Fast, Integrated, and User-friendly system to ease data analysis. FIU-Miner allows users to rapidly configure a complex data analysis task without writing a single line of code. It also helps users conveniently import and integrate different analysis programs. Further, it significantly balances resource utilization and task execution in heterogeneous environments. Case studies of real-world applications demonstrate the efficacy and effectiveness of our proposed system.",2017,Knowledge and Information Systems volume 52 issue 2 pp 411-443,data mining;database;real time computing;simulation;computer science;
Evaluating intelligent knowledge systems: experiences with a user-adaptive assistant agent,Pauline M. Berry (SRI International);Thierry Donneau-Golencer (SRI International);Khang Duong (SRI International);Melinda Gervasio (SRI International);Bart Peintner (SRI International);Neil Yorke-Smith (SRI International);,"2316636898,2055697538,2147739087,2040995121,2330902230,207663627","This article examines experiences in evaluating a user-adaptive personal assistant agent designed to assist a busy knowledge worker in time management. We examine the managerial and technical challenges of designing adequate evaluation and the tension of collecting adequate data without a fully functional, deployed system. The CALO project was a seminal multi-institution effort to develop a personalized cognitive assistant. It included a significant attempt to rigorously quantify learning capability, which this article discusses for the first time, and ultimately the project led to multiple spin-outs including Siri. Retrospection on negative and positive experiences over the 6 years of the project underscores best practice in evaluating user-adaptive systems. Lessons for knowledge system evaluation include: the interests of multiple stakeholders, early consideration of evaluation and deployment, layered evaluation at system and component levels, characteristics of technology and domains that determine the appropriateness of controlled evaluations, implications of ‘in-the-wild’ versus variations of ‘in-the-lab’ evaluation, and the effect of technology-enabled functionality and its impact upon existing tools and work practices. In the conclusion, we discuss—through the lessons illustrated from this case study of intelligent knowledge system evaluation—how development and infusion of innovative technology must be supported by adequate evaluation of its efficacy.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-31,time management;knowledge based systems;knowledge management;data mining;database;artificial intelligence;simulation;computer science;
Properties of information sets and information processing with an application to face recognition,"Farrukh Sayeed (College of Engineering, Trivandrum);Madasu Hanmandlu (Indian Institute of Technology Delhi);","2519991460,1967859982","This paper presents the properties of information sets that help derive local features from a face when partitioned into windows and devises the information rules from the generalized fuzzy rules for information processing that helps match the unknown test face with the known for authenticating a user. information set is constituted from the information values that result from representing the uncertainty in a type-1 fuzzy set by Hanman–Anirban entropy function. The information values are shown to be the products of information sources (gray levels) in a window and their membership function values. The Hanman filter (HF) is devised to modify the information values using a cosine function whereas the Hanman transform (HT) is devised to evaluate the information source values based on the information obtained on them. Three classifiers, namely the inner product classifier, normed error classifier, and Hanman classifier are formulated. The two feature types based on HF and HT are tested on the AT&T (ORL) database, which contains pose variations in the face images and two other face databases: Indian face Database (IIT Kanpur) and UMIST (Sheffield) using new as well as known classifiers like Euclidean distance- based, Bayesian, and support vector machine classifiers.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-23,national electrical code;inter process communication;naive bayes classifier;support vector machine;high frequency;information processing;data mining;database;pattern recognition;artificial intelligence;machine learning;computer science;
Prequential AUC: properties of the area under the ROC curve for data streams with concept drift,Dariusz Brzezinski (Poznań University of Technology);Jerzy Stefanowski (Poznań University of Technology);,"2328495631,142644238","Modern data-driven systems often require classifiers capable of dealing with streaming imbalanced data and concept changes. The assessment of learning algorithms in such scenarios is still a challenge, as existing online evaluation measures focus on efficiency, but are susceptible to class ratio changes over time. In case of static data, the area under the receiver operating characteristics curve, or simply AUC, is a popular measure for evaluating classifiers both on balanced and imbalanced class distributions. However, the characteristics of AUC calculated on time-changing data streams have not been studied. This paper analyzes the properties of our recent proposal, an incremental algorithm that uses a sorted tree structure with a sliding window to compute AUC with forgetting. The resulting evaluation measure, called prequential AUC, is studied in terms of: visualization over time, processing speed, differences compared to AUC calculated on blocks of examples, and consistency with AUC calculated traditionally. Simulation results show that the proposed measure is statistically consistent with AUC computed traditionally on streams without drift and comparably fast to existing evaluation procedures. Finally, experiments on real-world and synthetic data showcase characteristic properties of prequential AUC compared to classification accuracy, G-mean, Kappa, Kappa M, and recall when used to evaluate classifiers on imbalanced streams with various difficulty factors.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-32,concept drift;data stream mining;data mining;pattern recognition;machine learning;statistics;computer science;
A survey on location estimation techniques for events detected in Twitter,Ozer Ozdikis (Middle East Technical University);Halit Oğuztüzün (Middle East Technical University);Pinar Karagoz (Middle East Technical University);,"2036993898,274004769,2068042486","Detection of events using voluntarily generated content in microblogs has been the objective of numerous recent studies. One essential challenge tackled in these studies is estimating the locations of events. In this paper, we review the state-of-the-art location estimation techniques used in the localization of events detected in microblogs, particularly in Twitter, which is one of the most popular microblogging platforms worldwide. We analyze these techniques with respect to the targeted event type, granularity of estimated locations, location-related features selected as sources of spatial evidence, and the method used to make aggregate decisions based on the extracted evidence. We discuss the strengths and advantages of alternative solutions to various problems related to location estimation, as well as their preconditions and limitations. We examine the most widely used evaluation methods to analyze the accuracy of estimations and present the results reported in the literature. We also discuss our findings and highlight important research challenges that may need further attention.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-49,microblogging;spatial analysis;internet privacy;world wide web;data mining;statistics;computer science;
{\lambda }-LGP: an improved version of linear genetic programming evaluated in the Ant Trail problem,Léo Françoso Dal Piccol Sotto (Federal University of São Paulo);Vinícius Veloso de Melo (Federal University of São Paulo);Márcio Porto Basgalupp (Federal University of São Paulo);,"1516183398,2116369660,2025429714","The Ant Trail problem has been widely investigated as a benchmark for automatic design of algorithms. One must design the program of a virtual ant to collect all pieces of food located in different places of a map, which may have obstacles, in a predefined limit of steps. This is a challenging problem, but several evolutionary computation (EC) researchers have reported methods with good results. In this paper, we propose an EC method called \({\lambda }\)-linear genetic programming (\({\lambda }\)-LGP), a variation of the well-known linear genetic programming (LGP) algorithm. Starting with an LGP based only on effective macro- and micro-mutations, the \({\lambda }\)-LGP proposed in this work consists in extending how the individuals are chosen for reproduction. In this model, a number (\({\lambda }\)) of mutations is applied to each individual, trying to explore its neighboring fitness regions; such individual might be replaced by one of its children according to different criteria. Several configurations were tested over three different trails: the Santa Fe, the Los Altos Hill, and the John Muir. Results show a very significant improvement over LGP by using this proposed variation. Also, \({\lambda }\)-LGP outperformed not only LGP, but also other state-of-the-art methods from the literature.",2017,Knowledge and Information Systems volume 52 issue 2 pp 445-465,genetic programming;artificial intelligence;machine learning;algorithm;computer science;
A segment-based approach for large-scale ontology matching,Xingsi Xue (Fujian University of Technology);Jeng-Shyang Pan (Fujian University of Technology);,"2631677823,2672187774","The most ground approach to solve the ontology heterogeneous problem is to determine the semantically identical entities between them, so-called ontology matching. However, the correct and complete identification of semantic correspondences is difficult to achieve with the scale of the ontologies that are huge; thus, achieving good efficiency is the major challenge for large- scale ontology matching tasks. On the basis of our former work, in this paper, we further propose a scalable segment-based ontology matching framework to improve the efficiency of matching large-scale ontologies. In particular, our proposal first divides the source ontology into several disjoint segments through an ontology partition algorithm; each obtained source segment is then used to divide the target ontology by a concept relevance measure; finally, these similar ontology segments are matched in a time and aggregated into the final ontology alignment through a hybrid Evolutionary Algorithm. In the experiment, testing cases with different scales are used to test the performance of our proposal, and the comparison with the participants in OAEI 2014 shows the effectiveness of our approach.",2017,Knowledge and Information Systems volume 52 issue 2 pp 1-18,ontology based data integration;process ontology;ontology alignment;suggested upper merged ontology;information retrieval;data mining;database;computer science;
Predicting high-risk students using Internet access logs,Qing Zhou (Chongqing University);Wenjun Quan;Yu Zhong;Wei Xiao;Chao Mou (Chongqing University);Yong Wang (Chongqing University of Posts and Telecommunications);,"2709772246,2735114630,2734966012,2734342150,2658574768,2617054730",-,2017,Knowledge and Information Systems,-
