L -diversity: Privacy beyond k -anonymity,Ashwin Machanavajjhala (Cornell University);Daniel Kifer (Cornell University);Johannes Gehrke (Cornell University);Muthuramakrishnan Venkitasubramaniam (Cornell University);,"2653972899,2049563562,2083845045,342574673","Publishing data about individuals without revealing sensitive information about them is an important problem. In recent years, a new definition of privacy called k -anonymity has gained popularity. In a k -anonymized dataset, each record is indistinguishable from at least k − 1 other records with respect to certain identifying attributes. In this article, we show using two simple attacks that a k -anonymized dataset has some subtle but severe privacy problems. First, an attacker can discover the values of sensitive attributes when there is little diversity in those sensitive attributes. This is a known problem. Second, attackers often have background knowledge, and we show that k -anonymity does not guarantee privacy against attackers using background knowledge. We give a detailed analysis of these two attacks, and we propose a novel and powerful privacy criterion called e-diversity that can defend against such attacks. In addition to building a formal foundation for e-diversity, we show in an experimental evaluation that e-diversity is practical and can be implemented efficiently.",2007,ACM Transactions on Knowledge Discovery From Data volume 1 issue 1 pp 3,privacy software;ell;information privacy;internet privacy;computer security;data mining;computer science;
Graph evolution: Densification and shrinking diameters,Jure Leskovec (Carnegie Mellon University);Jon M. Kleinberg (Cornell University);Christos Faloutsos (Carnegie Mellon University);,"1878631932,2261367123,2198983026","How do real graphs evolve over timeq What are normal growth patterns in social, technological, and information networksq Many studies have discovered patterns in static graphs , identifying properties in a single snapshot of a large network or in a very small number of snapshots; these include heavy tails for in- and out-degree distributions, communities, small-world phenomena, and others. However, given the lack of information about network evolution over long periods, it has been hard to convert these findings into statements about trends over time. Here we study a wide range of real graphs, and we observe some surprising phenomena. First, most of these graphs densify over time with the number of edges growing superlinearly in the number of nodes. Second, the average distance between nodes often shrinks over time in contrast to the conventional wisdom that such distance parameters should increase slowly as a function of the number of nodes (like O (log n ) or O (log(log n )). Existing graph generation models do not exhibit these types of behavior even at a qualitative level. We provide a new graph generator, based on a forest fire spreading process that has a simple, intuitive justification, requires very few parameters (like the flammability of nodes), and produces graphs exhibiting the full range of properties observed both in prior work and in the present study. We also notice that the forest fire model exhibits a sharp transition between sparse graphs and graphs that are densifying. Graphs with decreasing distance between the nodes are generated around this transition point. Last, we analyze the connection between the temporal evolution of the degree distribution and densification of a graph. We find that the two are fundamentally related. We also observe that real networks exhibit this type of relation between densification and the degree distribution.",2007,ACM Transactions on Knowledge Discovery From Data volume 1 issue 1 pp 2,longest path problem;heavy tailed distribution;degree distribution;statistical mechanics;discrete mathematics;combinatorics;simulation;statistics;mathematics;
"Clustering high-dimensional data: A survey on subspace clustering, pattern-based clustering, and correlation clustering",Hans-Peter Kriegel (Ludwig Maximilian University of Munich);Peer Kröger (Ludwig Maximilian University of Munich);Arthur Zimek (Ludwig Maximilian University of Munich);,"1919135125,2100673337,242745652","As a prolific research area in data mining, subspace clustering and related problems induced a vast quantity of proposed solutions. However, many publications compare a new proposition—if at all—with one or two competitors, or even with a so-called “naive” ad hoc solution, but fail to clarify the exact problem definition. As a consequence, even if two solutions are thoroughly compared experimentally, it will often remain unclear whether both solutions tackle the same problem or, if they do, whether they agree in certain tacit assumptions and how such assumptions may influence the outcome of an algorithm. In this survey, we try to clarify: (i) the different problem definitions related to subspace clustering in general; (ii) the specific difficulties encountered in this field of research; (iii) the varying assumptions, heuristics, and intuitions forming the basis of different approaches; and (iv) how several prominent solutions tackle different problems.",2009,ACM Transactions on Knowledge Discovery From Data volume 3 issue 1 pp 1-58,flame clustering;brown clustering;canopy clustering algorithm;dbscan;correlation clustering;constrained clustering;cure data clustering algorithm;affinity propagation;fuzzy clustering;clustering high dimensional data;cluster analysis;consensus clustering;biclustering;conceptual clustering;data science;data mining;machine learning;statistics;computer science;mathematics;
Factor in the neighbors: Scalable and accurate collaborative filtering,Yehuda Koren (Yahoo!);,1966367906,"Recommender systems provide users with personalized suggestions for products or services. These systems often rely on collaborating filtering (CF), where past transactions are analyzed in order to establish connections between users and products. The most common approach to CF is based on neighborhood models, which originate from similarities between products or users. In this work we introduce a new neighborhood model with an improved prediction accuracy. Unlike previous approaches that are based on heuristic similarities, we model neighborhood relations by minimizing a global cost function. Further accuracy improvements are achieved by extending the model to exploit both explicit and implicit feedback by the users. Past models were limited by the need to compute all pairwise similarities between items or users, which grow quadratically with input size. In particular, this limitation vastly complicates adopting user similarity models, due to the typical large number of users. Our new model solves these limitations by factoring the neighborhood model, thus making both item-item and user-user implementations scale linearly with the size of the data. The methods are tested on the Netflix data, with encouraging results.",2010,ACM Transactions on Knowledge Discovery From Data volume 4 issue 1 pp 1-24,collaborative filtering;recommender system;theoretical computer science;world wide web;data mining;machine learning;computer science;
Collective entity resolution in relational data,"Indrajit Bhattacharya (University of Maryland, College Park);Lise Getoor (University of Maryland, College Park);","2117917354,1984940772","Many databases contain uncertain and imprecise references to real-world entities. The absence of identifiers for the underlying entities often results in a database which contains multiple references to the same entity. This can lead not only to data redundancy, but also inaccuracies in query processing and knowledge extraction. These problems can be alleviated through the use of entity resolution . Entity resolution involves discovering the underlying entities and mapping each database reference to these entities. Traditionally, entities are resolved using pairwise similarity over the attributes of references. However, there is often additional relational information in the data. Specifically, references to different entities may cooccur. In these cases, collective entity resolution, in which entities for cooccurring references are determined jointly rather than independently, can improve entity resolution accuracy. We propose a novel relational clustering algorithm that uses both attribute and relational information for determining the underlying domain entities, and we give an efficient implementation. We investigate the impact that different relational similarity measures have on entity resolution quality. We evaluate our collective entity resolution algorithm on multiple real-world databases. We show that it improves entity resolution performance over both attribute-based baselines and over algorithms that consider relational information but do not resolve entities collectively. In addition, we perform detailed experiments on synthetically generated data to identify data characteristics that favor collective relational resolution over purely attribute-based algorithms.",2007,ACM Transactions on Knowledge Discovery From Data volume 1 issue 1 pp 5,weak entity;name resolution;record linkage;entity relationship model;clustering coefficient;relational database;knowledge extraction;information retrieval;data mining;database;computer science;
Semantic text similarity using corpus-based word similarity and string similarity,Aminul Islam (University of Ottawa);Diana Zaiu Inkpen (University of Ottawa);,"2589928656,852303700",We present a method for measuring the semantic similarity of texts using a corpus-based measure of semantic word similarity and a normalized and modified version of the Longest Common Subsequence (LCS) string matching algorithm. Existing methods for computing text similarity have focused mainly on either large documents or individual words. We focus on computing the similarity between two sentences or two short paragraphs. The proposed method can be exploited in a variety of applications involving textual knowledge representation and knowledge discovery. Evaluation results on two different data sets show that our method outperforms several competing methods.,2008,ACM Transactions on Knowledge Discovery From Data volume 2 issue 2 pp 10,dishin;normalized compression distance;explicit semantic analysis;longest common subsequence problem;semantic similarity;string searching algorithm;knowledge extraction;natural language processing;information retrieval;pattern recognition;computer science;mathematics;
A Framework for Computing the Privacy Scores of Users in Online Social Networks,Kun Liu (Yahoo!);Evimaria Terzi (Boston University);,"2144142685,2110675235","A large body of work has been devoted to address corporate-scale privacy concerns related to social networks. Most of this work focuses on how to share social networks owned by organizations without revealing the identities or the sensitive relationships of the users involved. Not much attention has been given to the privacy risk of users posed by their daily information-sharing activities. In this article, we approach the privacy issues raised in online social networks from the individual users’ viewpoint: we propose a framework to compute the privacy score of a user. This score indicates the user’s potential risk caused by his or her participation in the network. Our definition of privacy score satisfies the following intuitive properties: the more sensitive information a user discloses, the higher his or her privacy risk. Also, the more visible the disclosed information becomes in the network, the higher the privacy risk. We develop mathematical models to estimate both sensitivity and visibility of the information. We apply our methods to synthetic and real-world data and demonstrate their efficacy and practical utility.",2010,ACM Transactions on Knowledge Discovery From Data volume 5 issue 1 pp 6,privacy software;social network;maximum likelihood;knowledge management;data mining;machine learning;statistics;computer science;mathematics;
Temporal Link Prediction Using Matrix and Tensor Factorizations,Daniel M. Dunlavy (Sandia National Laboratories);Tamara G. Kolda (Sandia National Laboratories);Evrim Acar (Scientific and Technological Research Council of Turkey);,"1883670429,2139651035,2250409171","The data in many disciplines such as social networks, Web analysis, etc. is link-based, and the link structure can be exploited for many different data mining tasks. In this article, we consider the problem of temporal link prediction: Given link data for times 1 through T , can we predict the links at time T + 1? If our data has underlying periodic structure, can we predict out even further in time, i.e., links at time T + 2, T + 3, etc.? In this article, we consider bipartite graphs that evolve over time and consider matrix- and tensor-based methods for predicting future links. We present a weight-based method for collapsing multiyear data into a single matrix. We show how the well-known Katz method for link prediction can be extended to bipartite graphs and, moreover, approximated in a scalable way using a truncated singular value decomposition. Using a CANDECOMP/PARAFAC tensor decomposition of the data, we illustrate the usefulness of exploiting the natural three-dimensional structure of temporal link data. Through several numerical experiments, we demonstrate that both matrix- and tensor-based techniques are effective for temporal link prediction despite the inherent difficulty of the problem. Additionally, we show that tensor-based techniques are particularly effective for temporal data with varying periodic patterns.",2011,ACM Transactions on Knowledge Discovery From Data volume 5 issue 2 pp 10,linked data;bipartite graph;social network;evolution;numerical analysis;data analysis;discrete mathematics;combinatorics;data mining;machine learning;statistics;computer science;mathematics;
Cross-Dependency Inference in Multi-Layered Networks: A Collaborative Filtering Perspective,Chen Chen (Arizona State University);Hanghang Tong (Arizona State University);Lei Xie (City University of New York);Lei Ying (Arizona State University);Qing He (University at Buffalo);,"2311808467,2667261544,2580828074,2686501891,2251990706","The increasingly connected world has catalyzed the fusion of networks from different domains, which facilitates the emergence of a new network model—multi-layered networks. Examples of such kind of network systems include critical infrastructure networks, biological systems, organization-level collaborations, cross-platform e-commerce, and so forth. One crucial structure that distances multi-layered network from other network models is its cross-layer dependency, which describes the associations between the nodes from different layers. Needless to say, the cross-layer dependency in the network plays an essential role in many data mining applications like system robustness analysis and complex network control. However, it remains a daunting task to know the exact dependency relationships due to noise, limited accessibility, and so forth. In this article, we tackle the cross-layer dependency inference problem by modeling it as a collective collaborative filtering problem. Based on this idea, we propose an effective algorithm F ascinate that can reveal unobserved dependencies with linear complexity. Moreover, we derive F ascinate -ZERO, an online variant of F ascinate that can respond to a newly added node timely by checking its neighborhood dependencies. We perform extensive evaluations on real datasets to substantiate the superiority of our proposed approaches.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 4 pp 1-26,distributed computing;data mining;machine learning;computer science;
Discovering Conditional Matching Rules,Yihan Wang (Tsinghua University);Shaoxu Song (Tsinghua University);Lei Chen (Hong Kong University of Science and Technology);Jeffrey Xu Yu (The Chinese University of Hong Kong);Hong Cheng (The Chinese University of Hong Kong);,"2535677458,2169520429,2318776917,2119358208,2161754280","Matching dependencies (MDs) have recently been proposed to make data dependencies tolerant to various information representations, and found useful in data quality applications such as record matching. Instead of the strict equality function used in traditional dependency syntax (e.g., functional dependencies), MDs specify constraints based on similarity and identification. However, in practice, MDs may still be too strict and applicable only in a subset of tuples in a relation. Thereby, we study the conditional matching dependencies (CMDs), which bind matching dependencies only in a certain part of a table, i.e., MDs conditionally applicable in a subset of tuples. Compared to MDs, CMDs have more expressive power that enables them to satisfy wider application needs. In this article, we study several important theoretical and practical issues of CMDs, including irreducible CMDs with respect to the implication, discovery of CMDs from data, reliable CMDs agreed most by a relation, approximate CMDs almost satisfied in a relation, and finally applications of CMDs in record matching and missing value repairing. Through an extensive experimental evaluation in real data sets, we demonstrate the efficiency of proposed CMDs discovery algorithms and effectiveness of CMDs in real applications.",2017,ACM Transactions on Knowledge Discovery From Data volume 11 issue 4 pp 1-38,discrete mathematics;data mining;database;mathematics;
